;FA;FA StdDev;MD;MD StdDev;RD;RD StdDev;AD;AD StdDev
000002;0.7512299418449402;0.13256199657917023;0.000794482883065939;0.0001873813453130424;0.00036733871093019843;0.00020156026585027575;0.00164877122733742;0.0002793668245431036
000025;0.6835936307907104;0.12908828258514404;0.0008870110614225268;0.0001898076880024746;0.0004709060303866863;0.00020195664546918124;0.0017192211234942079;0.00030413607601076365
000033;0.7598361968994141;0.13493812084197998;0.0007346007041633129;0.00022194137272890657;0.00033232345595024526;0.00021986025967635214;0.0015391551423817873;0.0003406809701118618
000034;0.7546611428260803;0.12118738144636154;0.0007971709128469229;0.00018680523498915136;0.000362250953912735;0.00018534972332417965;0.0016670109471306205;0.000333407981088385
000042;0.7657486200332642;0.13206367194652557;0.0007543314131908119;0.00017891498282551765;0.00033277709735557437;0.00019522782531566918;0.001597439986653626;0.00026273459661751986
000109;0.7458416819572449;0.124595507979393;0.0007323952158913016;0.00014294314314611256;0.0003383599978405982;0.00016021165356505662;0.0015204658266156912;0.0002339592610951513
000110;0.7816737294197083;0.13563552498817444;0.0007748184143565595;0.0002005625719903037;0.00033015073859132826;0.00021396252850536257;0.001664153765887022;0.0002889680617954582
