,Group,FA,FA StdDev,MD,MD StdDev,RD,RD StdDev,AD,AD StdDev
000349,C,0.6314440369606018,0.24888168275356293,0.0009447528864257038,0.0003938745066989213,0.0005545459571294487,0.0004605396534316242,0.0017251665703952312,0.00039961538277566433
000351,C,0.6364104747772217,0.24868322908878326,0.0009286858839914203,0.0004036662576254457,0.0005542804137803614,0.0004722298472188413,0.0016774967079982162,0.0003813741495832801
000358,C,0.6308644413948059,0.25726863741874695,0.0009268867434002459,0.0003819093690253794,0.0005378880305215716,0.0004374830750748515,0.0017048839945346117,0.000419958756538108
000359,C,0.6601883172988892,0.2195827066898346,0.0008555445238016546,0.0003236820048186928,0.0004747580096591264,0.0003700594534166157,0.0016171176685020328,0.00039578956784680486
000360,C,0.6221728920936584,0.2488807588815689,0.0009528468362987041,0.0004200399271212518,0.00057883036788553,0.00048477246309630573,0.0017008798895403743,0.0004061235231347382
000370,C,0.6328543424606323,0.23379038274288177,0.0009355751099064946,0.00032430520514026284,0.0005374496686272323,0.00038077717181295156,0.0017318257596343756,0.0004005072987638414
000372,C,0.6425623297691345,0.2268643081188202,0.0009724540868774056,0.00042531671351753175,0.0005539482808671892,0.00046252241008915007,0.0018094656988978386,0.0004975079209543765
000373,C,0.6233697533607483,0.2524893581867218,0.0008433650364167988,0.00036401572288013995,0.0004681645950768143,0.0004243471485096961,0.001593765802681446,0.0003843777521979064
000375,C,0.6335844993591309,0.21496519446372986,0.0009320937097072601,0.00038399072946049273,0.000554136757273227,0.00043198041385039687,0.00168800784740597,0.00039768370334059
000382,C,0.6107535362243652,0.22308796644210815,0.0008183448808267713,0.0002737132308539003,0.0004850465338677168,0.0003327593149151653,0.001484941691160202,0.0003009323845617473
000389,C,0.5913310647010803,0.22488968074321747,0.0008283272618427873,0.00027170023531652987,0.0004993383772671223,0.0003162731882184744,0.001486305147409439,0.0003340927651152015
000396,C,0.6055394411087036,0.2467544674873352,0.001018674811348319,0.000477691093692556,0.0006296116043813527,0.0005195444682613015,0.0017968012252822518,0.00052472302922979
000413,C,0.6335654854774475,0.23744265735149384,0.0009104479104280472,0.0003789419133681804,0.0005140656721778214,0.0004415427101776004,0.001703212270513177,0.0003907819336745888
000424,C,0.5935063362121582,0.23088376224040985,0.0011178686982020736,0.0005049202009104192,0.0007050831918604672,0.0005644595948979259,0.0019434398273006082,0.0005113428342156112
000432,C,0.6160388588905334,0.2248253971338272,0.0009567913366481662,0.00038990654866211116,0.0005806523840874434,0.00044518220238387585,0.0017090693581849337,0.0004043724329676479
000437,C,0.6162500977516174,0.24909484386444092,0.0009091845131479204,0.0003540825564414263,0.0005435801576822996,0.0004202591662760824,0.0016403932822868228,0.00038745388155803084
000442,C,0.6038888096809387,0.24197471141815186,0.0009393125073984265,0.0004077063058502972,0.00057874625781551,0.00046422475134022534,0.0016604451229795814,0.0004022690700367093
000012,A,0.6019355654716492,0.2339067906141281,0.0009334436617791653,0.00038956935168243945,0.0005629163351841271,0.0004280426073819399,0.001674498082138598,0.0004565967246890068
000014,A,0.6205393075942993,0.26365959644317627,0.0009823909495025873,0.0004122977261431515,0.000598859041929245,0.0004940241924487054,0.0017494544154033065,0.0003529039095155895
000033,A,0.6182187795639038,0.2324298471212387,0.0010413118870928884,0.0004500523500610143,0.0006371675408445299,0.000498343666549772,0.0018496005795896053,0.00045435086940415204
000034,A,0.6260195970535278,0.26885655522346497,0.0010424344800412655,0.0005471514887176454,0.0006458450807258487,0.0006187624530866742,0.0018356132786720991,0.00048074015649035573
000035,A,0.6039440631866455,0.25301051139831543,0.0009863724699243903,0.0004598709347192198,0.0005920365219935775,0.0005079390830360353,0.0017750440165400505,0.0004921666695736349
000039,A,0.5859852433204651,0.24076588451862335,0.0010737712727859616,0.00042292059515602887,0.0006818684632889926,0.000491296174004674,0.0018575768917798996,0.00041133660124614835
000055,A,0.6684354543685913,0.2515762448310852,0.0008635694975964725,0.00038555017090402544,0.00047734242980368435,0.0004491829895414412,0.0016360237495973706,0.00039686300442554057
000060,A,0.6190403699874878,0.25766170024871826,0.0009651549044065177,0.0004647808673325926,0.0005965651944279671,0.0005301545606926084,0.00170233438257128,0.0004355412966106087
000061,A,0.6458950042724609,0.23174765706062317,0.0008870093734003603,0.00037913431879132986,0.0005166273913346231,0.00043323077261447906,0.0016277736285701394,0.0003966983640566468
000064,A,0.6082875728607178,0.24146276712417603,0.0008560914429835975,0.0003964920178987086,0.000508897821418941,0.0004412470734678209,0.0015504785114899278,0.0004304295580368489
000066,A,0.5982407331466675,0.2676801085472107,0.0010627326555550098,0.0005254787974990904,0.000667475804220885,0.0005706630763597786,0.0018532464746385813,0.0005567571497522295
