,Group,FA,FA StdDev,MD,MD StdDev,RD,RD StdDev,AD,AD StdDev
000001,C,0.7226687073707581,0.1376890391111374,0.0008709788089618087,0.00020176575344521552,0.00040657573845237494,0.00021609953546430916,0.001799785066395998,0.00032354341237805784
000002,C,0.6578141450881958,0.10332569479942322,0.0008474817732349038,0.00015767652075737715,0.00043754003127105534,0.00017048361769411713,0.0016673653153702617,0.0002442054683342576
000003,C,0.732387125492096,0.13057194650173187,0.0008175628026947379,0.00018616132729221135,0.0003825063176918775,0.00020443239191081375,0.0016876759473234415,0.00025254706270061433
000025,C,0.7324972748756409,0.13200625777244568,0.0008025361457839608,0.00026025105034932494,0.0003784077998716384,0.00024738581851124763,0.0016507926629856229,0.00037887683720327914
000097,C,0.7300443649291992,0.13336917757987976,0.0008502825512550771,0.00020507434965111315,0.0003946831857319921,0.00021306744019966573,0.001761481398716569,0.0003356875095050782
000270,C,0.702092707157135,0.12711645662784576,0.000856491387821734,0.00021561345783993602,0.0004089963040314615,0.0002226095530204475,0.0017514812061563134,0.0003304602578282356
000271,C,0.6940780282020569,0.11654665321111679,0.0008297323365695775,0.00017315661534667015,0.000421583594288677,0.00017772626597434282,0.0016460298793390393,0.00028251842013560236
000272,C,0.7277452945709229,0.12760426104068756,0.0007921035867184401,0.00018774530326481909,0.0003671768063213676,0.00020571218919940293,0.001641957089304924,0.00026785771478898823
000274,C,0.7281660437583923,0.1273471564054489,0.0008418672950938344,0.0002525510499253869,0.0004016709281131625,0.0002479032555129379,0.0017222600290551782,0.0003519387391861528
000278,C,0.7253342866897583,0.1302010715007782,0.0008193064131774008,0.00019983595120720565,0.0003940435126423836,0.00021158751042094082,0.001669832388870418,0.00028688021120615304
000279,C,0.7055062055587769,0.1231437399983406,0.0008501136908307672,0.00017060968093574047,0.00041899786447174847,0.00018238901975564659,0.0017123454017564654,0.00028393985121510923
000280,C,0.7570562958717346,0.13118408620357513,0.000853841076605022,0.00023027037968859076,0.0003756504156626761,0.00023949614842422307,0.0018102226313203573,0.0003187860711477697
000300,C,0.7193533778190613,0.1213604286313057,0.0008892005425877869,0.0002560969442129135,0.000432715896749869,0.00022971979342401028,0.0018021699506789446,0.00042034147190861404
000304,C,0.7318481206893921,0.13189473748207092,0.0007897975738160312,0.00018409606127534062,0.0003639165370259434,0.00019272015197202563,0.0016415596473962069,0.00030791564495302737
000309,C,0.6958372592926025,0.11754726618528366,0.0007673042709939182,0.00017391698202118278,0.0003887937928084284,0.00016396644059568644,0.0015243248781189322,0.00031216401839628816
000310,C,0.7702782154083252,0.14858919382095337,0.000812159210909158,0.00029166482272557914,0.0003500880266074091,0.000289334449917078,0.0017363016959279776,0.00036508229095488787
000311,C,0.7433996200561523,0.1317824423313141,0.0008077012025751173,0.00023103378771338612,0.00034659626544453204,0.00023181142751127481,0.001729911076836288,0.0003177868784405291
000315,C,0.7360751628875732,0.1341007947921753,0.0007515515899285674,0.00018377552623860538,0.0003483898181002587,0.00019275750673841685,0.0015578753082081676,0.00030123948818072677
000317,C,0.7245765924453735,0.12403255701065063,0.0007924907258711755,0.00015823051217012107,0.0003726518771145493,0.00017085764557123184,0.0016321680741384625,0.0002974730741698295
000318,C,0.7348735332489014,0.13907067477703094,0.0007364116027019918,0.00018219466437585652,0.000333485339069739,0.00018666237883735448,0.0015422642463818192,0.00033687183167785406
000320,C,0.7067354917526245,0.14305897057056427,0.0007913017179816961,0.0002054951764876023,0.0003885144251398742,0.00020220025908201933,0.0015968761872500181,0.0004011847195215523
